precio,aseos,dormitorios,superficie,plantas,codigo_postal
221900,3,1,1180,1,98178
538000,3,2.25,2570,2,98125
180000,2,1,770,1,98028
604000,4,3,1960,1,98136
510000,3,2,1680,1,98074
1225000,4,4.5,5420,1,98053
257500,3,2.25,1715,2,98003
291850,3,1.5,1060,1,98198
229500,3,1,1780,1,98146
323000,3,2.5,1890,2,98038
662500,3,2.5,3560,1,98007
468000,2,1,1160,1,98115
310000,3,1,1430,1.5,98028
400000,3,1.75,1370,1,98074
530000,5,2,1810,1.5,98107
650000,4,3,2950,2,98126
395000,3,2,1890,2,98019
485000,4,1,1600,1.5,98103
189000,2,1,1200,1,98002
230000,3,1,1250,1,98003
385000,4,1.75,1620,1,98133
2000000,3,2.75,3050,1,98040
285000,5,2.5,2270,2,98092
252700,2,1.5,1070,1,98030
329000,3,2.25,2450,2,98030
233000,3,2,1710,1.5,98002
937000,3,1.75,2450,2,98119
667000,3,1,1400,1.5,98112
438000,3,1.75,1520,1,98115
719000,4,2.5,2570,2,98052
580500,3,2.5,2320,2,98027
280000,2,1.5,1190,3,98133
687500,4,1.75,2330,1.5,98117
535000,3,1,1090,1.5,98117
322500,4,2.75,2060,1,98058
696000,3,2.5,2300,1.5,98115
550000,4,1,1660,1,98052
640000,4,2,2360,2,98107
240000,4,1,1220,1,98001
605000,4,2.5,2620,2,98056
625000,4,2.5,2570,2,98074
775000,4,2.25,4220,1,98166
861990,5,2.75,3595,2,98053
685000,3,1,1570,2,98119
309000,3,1,1280,1,98058
488000,3,2.5,3160,2,98019
210490,3,1,990,1,98023
785000,4,2.5,2290,2,98007
450000,3,1.75,1250,1,98115
1350000,3,2.5,2753,1,98070
228000,3,1,1190,1,98148
345000,5,2.5,3150,1,98056
600000,3,1.75,1410,1,98117
585000,2,1.75,1980,1,98117
920000,5,2.25,2730,1.5,98105
885000,4,2.5,2830,2,98105
292500,4,2.5,2250,2,98042
301000,3,2.5,2420,2,98042
951000,5,3.25,3250,2,98008
430000,4,3,1850,2,98059
650000,3,2.25,2150,1,98166
289000,3,1.75,1260,1,98148
505000,3,1.75,2519,2,98166
549000,3,1.75,1540,3,98115
425000,3,2.25,1660,1,98122
317625,3,2.75,2770,1.5,98144
975000,4,2.5,2720,2,98004
287000,4,2.5,2240,2,98001
204000,3,1,1000,1,98042
1325000,5,2.25,3200,1,98004
1040000,5,3.25,4770,1,98005
325000,3,2,1260,1,98034
571000,4,2,2750,1.5,98125
360000,4,2.5,2380,2,98038
349000,3,1.75,1790,1,98042
832500,4,4,3430,2,98075
380000,4,1.75,1760,1,98008
480000,3,1,1040,1,98116
410000,3,1,1410,1,98133
720000,4,2.5,3450,2,98010
390000,3,2.5,2350,2,98038
360000,4,2.5,1900,2,98038
355000,2,1,2020,1,98118
356000,3,1.5,1680,1,98059
315000,3,1,960,1,98125
940000,3,1.5,2140,2,98119
305000,5,2.25,2660,1.5,98092
461000,3,3.25,2770,2,98056
215000,2,2.25,1610,2,98056
335000,2,1.75,1030,2,98136
243500,4,2.5,1980,2,98023
1099880,5,2.75,3520,2,98199
153000,3,1,1200,1,98023
430000,3,1.5,1580,1,98117
700000,3,1.5,1580,1,98117
905000,4,2.5,3300,1,98040
247500,3,1.75,1960,1,98032
199000,4,1.5,1160,1,98023
314000,3,1.75,1810,1,98038
437500,3,2.5,2320,2,98045
850830,3,2.5,2070,1.5,98102
555000,3,2,1980,1.5,98117
699950,3,2.25,2190,2,98077
1088000,3,2.5,2920,2,98004
290000,3,1,1210,1,98058
375000,3,2.5,2340,1,98058
460000,3,1,1670,1.5,98117
188500,2,1.75,1240,1,98198
680000,4,2.5,3140,2,98077
470000,5,1.75,2030,2,98052
597750,4,2.5,2310,2,98027
570000,3,1.75,1260,1,98103
272500,3,1.75,1540,1,98038
329950,3,1.75,2080,1,98108
480000,4,2.5,3230,2,98001
740500,3,3.5,4380,2,98117
518500,3,3.5,1590,3,98103
205425,2,1,880,1,98178
171800,4,2,1570,1,98168
535000,4,1,1610,1.5,98144
660000,3,2.5,2400,1,98177
391500,3,2,1450,1,98034
395000,2,1,770,1,98117
445000,4,1.75,2100,1.5,98118
770000,3,2.25,2910,2,98052
1450000,4,2.75,2750,1.5,98004
445000,3,2.25,2100,1,98178
260000,4,2.25,2160,1,98023
822500,5,3.5,2320,2,98103
430000,4,2.5,2070,2,98065
212000,3,1.75,1060,1,98092
660500,4,2.25,2010,1,98027
784000,3,3.5,3950,1.5,98052
453246,3,2.5,2010,2,98029
675000,4,3.5,2140,3,98107
199000,3,1.75,1320,1,98003
220000,4,1.75,2020,1,98003
452000,4,2.25,2590,1,98028
382500,2,1,1190,1,98125
519950,3,2.25,1170,3,98107
665000,2,1,1110,1,98119
527700,5,2.5,2820,1,98006
205000,3,1,1610,1,98058
420000,3,1,1060,1,98133
500000,4,2.25,2030,1,98006
921500,4,2.5,3670,2,98077
890000,4,1,2550,2,98109
430000,2,2.5,2420,2,98027
258000,5,2,2260,1,98032
511000,3,1,1430,1,98103
532170,3,2,1360,2,98103
560000,3,1,1110,1.5,98107
282950,3,1,1250,1,98003
2250000,4,3.25,5180,2,98006
350000,1,1,700,1,98115
215000,3,1,1180,1,98058
650000,5,3.5,3960,2,98056
320000,4,2.75,2640,1,98023
247000,3,2,1270,1.5,98022
320000,4,1.75,1760,1,98059
255000,5,2.25,2060,1,98146
438000,3,1.75,1780,1,98034
900000,3,2.5,3400,2,98075
441000,3,2.75,1910,1,98034
420000,3,2,2020,1,98027
370000,3,1.75,1580,1,98034
269950,2,1.75,1340,1,98198
807100,4,2.5,2680,2,98006
653000,3,2.5,2680,1,98034
371500,3,2,1370,1,98133
284000,3,1.75,1560,1,98166
272000,3,1.75,2160,1,98023
313000,3,1.5,1340,1.5,98133
